id,name,brewery,style,alcohol,fruit,ibu,text
0,가펠 소넨 호펜,프라이빗 브루어리 가펠 베커 앤 컴퍼니,쾰쉬 ,4.7도,1,10,"최고급 와인 산지로 유명한 미국북서부 지역의 야키마벨리에서 생산되는 시트라 홉의 산뜻한 과일 향과 가펠쾰쉬만의 풍부한 아로마, 부드러운 목넘김을 가지며 술을 잘 못하는 사람도 부담없이 즐길 수 있는 맥주이다."
1,슈렝케를라 메르첸,헬러브라우 트럼 지엠비에이치,라거,5.1도,0,30,"일반적인 메르첸 스타일과 같이 짙은 붉은색의 하면 발효 맥주로 수세기에 걸쳐 생산되고 있으며, 훈연 맥아를 사용하여 구리양조조에서 생산되는 가장 전통적인 방식의 훈연맥주이다. 메르첸은 3월이라는 뜻의 독일어로 인공적인 냉각 시설이 발명 되기 전, 더운 계절을 견딜 수 있도록 약간 높은 도수로 양조 되었던 맥주를 일컫는 말이다.  "
2,해리스 스타우트,소가턱 브루잉 컴퍼니,스타우트,6도,1,26,"단연 블루베리 향이 강하게 나며, 잘 볶은 커피향 과 초콜릿이 뒤를 따른다. 굉장히 신선한 블루베리의 향이 입안에 기분 좋게 퍼지며, 스타우트 특징인 초콜릿, 커피, 바닐라 등의 캐릭터 하나하나가 느껴진다. 블루베리 맥주는 간간이 제조 되었지만, 블루베리 스타우트는 시중에 흔치 않는 맥주로 블루베리와 스타우트의 조합으로 흑맥주의 쓴맛을 적절히 완화한 맥주이다.  "
3,트위스티드 맨자니타 페일에일,소가턱 브루잉 컴퍼니,페일 에일,5.7도,1,35,"열대과일, 시트러스 계열 홉 향에 적당히 달콤한 몰트도 감지 된다. 입 안에서는 기분 좋은 과일의 향이 폭탄처럼 터지며 약한 비터와 고소한 몰트로 마무리 된다. 샌디에이고의 시원한 바다 레이블에서 느끼는 크래프트 맥주의 향과 정서가 담긴 페일 에일로 예전 보다 더 균형 잡힌 맥주로 리뉴얼되어 재탄생 하였다.  "
4,트위스티드 맨자니타 더블아이피에이,소가턱 브루잉 컴퍼니,더블 인디아 페일 에일,9.7도,1,90,"귤, 오렌지, 자몽, 패션 프룻, 망고, 파인애플 등 폭 넓은 과일의 캐릭터가 감지되며, 약간의 파이니(송진)한 향과 몰트도 느껴진다. 입 안에도 홉 향이 가득 퍼지고 쓴 맛, 단맛이 느껴진다. 이름 그래도 엄청난 홉의 들어간 더블 IPA지만, IBU(쓴맛) 조절로 예전 제품보다 음용 하기 편하게 리뉴얼 되었다.  "
5,프리마토 바이젠,프리마토,바이젠,5도,1,17,잘익은 바나나의 달콤한 아로마와 스페셜 이스트의 조화로 부드럽고 진한 밀맥주의 풍미를 보여주는 맥주이다. 여성 추천에게 추천하는 맥주이다.  
6,프리마토 아이피에이,프리마토,인디아 페일 에일,6.5도,0,60,IPA 특유의 맛과 강렬한 풍미가 은은하게 다가오는 한국에 처음 선보인 체코산 IPA 맥주이다. 남성에게 추천하는 맥주이다.  
7,프리미엄 라거,프리마토,페일 라거,5도,0,27,"적절한 자극을 주는 쌉쌀함과 청량감, 그리고 고급스러운 싸지홉의 순수한 아로마를 차례로 느낄 수 있는 프리마토 대표 맥주 이다.  "
8,익스클루지브 16% ,프리마토,스트롱 라거,7.5도,0,38,모라비아 몰트의 고소하면서도 강한맛과 은은한 곡물향이 어우러진 스트롱 라거이다.  
9,고든 비어쉬 블론드 복 ,고든 비어쉬,마이복,7도,0,23,전체적으로 향과 맛이 풍부하고 질감이 크리미하며 몰티한 스타일이다. Hallertau 홉의 풍부하고 진한 맛과 부드러운 질감이 균형을 이룬다. 블론드 복 맥주는 1600년대 독일 수도사들이 엄격한 단식기간을 견뎌내기 위해 만들어 마셨던 역사적인 일화로 유명하다.  
10,고든 비어쉬 페일 에일 ,고든 비어쉬,페일 에일,5도,1,35,"전형적인 캘리포니아 스타일의 페일 에일 맥주로 진한 황금색을 띠고 있으며 Cascade 홉에서 나는 시트러스, 소나무 향이 산뜻하고 경쾌하게 느껴진다. 몰티한 느낌의 바디감, 풍부한 향과 함께 살짝 캐러멜화 된 몰트의 여운, 페일 에일 특유의 쌉쌀한 맛이 매력적이다.  "
11,고든 비어쉬 헤페바이젠 ,고든 비어쉬,헤페바이젠,5.5도,1,12,"필터링을 하지 않은 바바리안 스타일의 밀 맥주이다. 풍부한 기포와 시트러스, 바나나, 달콤한 풍선 껌, 정향의 향긋한 아로마는 모두 상면발효 효모에서 자연적으로 얻어진 결과물이다. 현재 바이에른이라 부르는 바바리아 지방에서는 일요일 오전 미사를 드린 후 흰 소시지나 갓 구운 프레첼에 곁들여 밀 맥주를 마시는 것이 전통이었다.  "
12,고든 비어쉬 마르젠 ,고든 비어쉬,다크 라거,5.8도,0,18,"어둡게 로스팅해 캐러멜화 된 뮌헨 몰트의 강렬한 향과 맛을 가진 개성 있는 맥주이다. 마르젠은 옥토버페스트 축제에서 루드비히 왕과 마리다 테레사 여왕의 혼인을 축하하며 마셨던 스토리를 갖고 있다. 독일어로 Marz는 3월을 뜻한다. 봄에 양조해 여름 내내 마시는 맥주로, 너무 차지 않게 보관해 붉은 육류요리나 미트소스 파스타, 따뜻한 스튜 등과 곁들여 마신다.  "
13,고든 비어쉬 골든 엑스포트 ,고든 비어쉬,라거,5도,0,20,깔끔하고 산뜻하게 마실 수 있는 전형적인 라거 맥주다. 골든 엑스포트는 1870년대 독일에서 처음 만들기 시작한 이후 지금도 가장 인기 있는 카테고리 중 하나다. 당시 인기가 좋아 독일 밖으로 수출되던 몇 안 되는 주류 품목으로 ‘엑스포트(수출)’이라는 명칭을 사용하게 됐다. 경쾌한 라거 스타일이라 어떤 음식과 매칭해도 무난하게 잘 어울린다.  
14,G 드 구달 그랑크루 판타지아,라 구달,인디아 페일 에일,7.9도,0,70,"상면발효 후 홉을 추가한 버전이다. 마스터 브루어가 엄선한 독일 산 “판타지아 홉”으로 양조해 크리미한 질감과 프루티한 노트, 약간의 캐러멜 여운이 느껴지는 맥주다. 페일 몰트, 캐러멜 몰트를 사용했으며 보리맥아, 밀, 쌀 등 세 종류의 곡물로 만든다. 고수와 오렌지 필을 첨가해 상큼한 살구 향과 달콤한 여운이 남는다.  "
